/* DATA DESCRIPTION:
Citation:	Perez, José Angel Alvarez; Sant'Ana, Rodrigo (2022): Catch composition time series (2000-2019) for demersal species in the Brazilian Meridional Margin. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.946292 (dataset in review), 
	In: Perez, JAA; Sant'Ana, R (2022): Time series of catch composition, mean catch temperature and thermal preference of demersal species in the Brazilian Meridional Margin (2000-2019). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.946402 (dataset in review)
Abstract:	This dataset contains information on catches reported in the harbours of Santa Catarina state, southern Brazil, between the years 2000 and 2019. Historically, these harbours have concentrated a significant part of the demersal fishing fleet that operates widely on the Brazilian Meridional Margin (BMM), from 21°S to the southern border of Brazilian EEZ (34°S) and from the coastal areas down to 500 m depths. Landed catches were monitored by a research team based on the University of 'Vale do Itajaí' (UNIVALI) along a sequence of scientific projects and contracts developed to meet governmental demands for oceanic and deep fisheries development and management, and in support of the licensing processes of the offshore oil and gas exploration activities.
	This catch composition time series shows an annual compilation of total catches discriminated by species caught by trawlers (single trawlers, pair or twin trawlers and double trawlers) and gill net industrial fisheries. These species represent altogether over 81% of total reported catch in the period. The remainder amount of landings was reported as groups of species (e.g. sharks) or categories indiscriminated by species and were excluded from the database.
Keyword(s):	Catch composition; climate change; SW Atlantic
Project(s):	Integrated Assessment of Atlantic Marine Ecosystems in Space and Time (iAtlantic) (URI: http://www.iatlantic.eu/)
Funding:	Horizon 2020 (H2020) (URI: https://ec.europa.eu/programmes/horizon2020/), grant/award no. 818123: Integrated Assessment of Atlantic Marine Ecosystems in Space and Time (URI: https://cordis.europa.eu/projects/818123)
Coverage:	MEDIAN LATITUDE: -27.500000 * MEDIAN LONGITUDE: -47.208300 * SOUTH-BOUND LATITUDE: -34.000000 * WEST-BOUND LONGITUDE: -53.583300 * NORTH-BOUND LATITUDE: -21.000000 * EAST-BOUND LONGITUDE: -40.833300
	DATE/TIME START: 2000-01-01T00:00:00 * DATE/TIME END: 2019-01-01T00:00:00
	MINIMUM ELEVATION: -500.0 m * MAXIMUM ELEVATION: 0.0 m
Event(s):	Brazilian_Demersal_Fisheries_Time_Series * LATITUDE START: -21.000000 * LONGITUDE START: -40.833300 * LATITUDE END: -34.000000 * LONGITUDE END: -53.583300 * DATE/TIME START: 2000-01-01T00:00:00 * DATE/TIME END: 2019-12-31T00:00:00 * ELEVATION START: 0.0 m * ELEVATION END: -500.0 m * LOCATION: Southwest Atlantic * METHOD/DEVICE: Fishing port survey * COMMENT: The sampling (fishing) area is defined by the Brazilian Meridional Margin, from 21°S to the southern border of Brazilian EEZ (34°S) and from the coastal areas down to 500 m depths.
Comment:	Catch composition time series that shows an annual compilation of total catches discriminated by species caught by demersal fisheries in the Brazilian Meridional Margin.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: Year when catch was landed in Santa Catarina harbours
	Species (Species) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: Scientific name for species of the respective landing
	Total catch [kg] (Catch tot) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: Annual total catch of reported species at the landing points
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 3 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_3)
Size:	3120 data points
*/
Date/Time	Species	Catch tot [kg]
2000	Archosargus probatocephalus	0.00
2000	Artemesia longinaris	1537592.92
2000	Astroscopus sexspinosus	947.97
2000	Aulostomus maculatus	0.00
2000	Bagre marinus	0.00
2000	Balistes capriscus	112218.36
2000	Beryx splendens	0.00
2000	Caranx crysos	0.00
2000	Caranx latus	0.00
2000	Carcharhinus plumbeus	0.00
2000	Carcharias taurus	17721.90
2000	Caulolatilus chrysops	0.00
2000	Chaetodipterus faber	387.65
2000	Conger orbignianus	16810.50
2000	Conodon nobilis	3539.56
2000	Cynoscion acoupa	8660.00
2000	Cynoscion guatucupa	886747.54
2000	Cynoscion jamaicensis	417689.20
2000	Cynoscion leiarchus	14714.65
2000	Cynoscion microlepidotus	1000.00
2000	Cynoscion virescens	7864.17
2000	Doryteuthis pleii	130465.39
2000	Doryteuthis sanpaulensis	11809.94
2000	Elops saurus	0.00
2000	Epinephelus itajara	150.00
2000	Epinephelus marginatus	217.10
2000	Euvola ziczac	343.50
2000	Galeorhinus galeus	4773.28
2000	Genypterus brasiliensis	62015.53
2000	Haemulon aurolineatum	24662.64
2000	Helicolenus lahillei	0.00
2000	Hyporthodus flavolimbatus	0.00
2000	Hyporthodus niveatus	2777.43
2000	Illex argentinus	3532.75
2000	Larimus breviceps	0.00
2000	Lophius gastrophysus	286483.99
2000	Lopholatilus villarii	6038.05
2000	Lutjanus griseus	0.00
2000	Macrodon atricauda	617880.24
2000	Macruronus magellanicus	0.00
2000	Merluccius hubbsi	124897.55
2000	Metanephrops rubellus	14424.83
2000	Micropogonias furnieri	3484142.17
2000	Mugil liza	349.42
2000	Mullus argentinae	27615.33
2000	Nemadactylus bergi	0.00
2000	Octopus americanus	112618.32
2000	Oligoplites saurus	43514.32
2000	Pagrus pagrus	10105.83
2000	Paralichthys orbignyanus	20998.35
2000	Paralichthys patagonicus	268886.52
2000	Paralonchurus brasiliensis	3780.00
2000	Parona signata	780.00
2000	Penaeus brasiliensis	66627.09
2000	Penaeus paulensis	60338.28
2000	Penaeus schmitti	3473.80
2000	Peprilus paru	33035.47
2000	Percophis brasiliensis	40443.09
2000	Pleoticus muelleri	675772.41
2000	Pogonias cromis	13.00
2000	Polymixia lowei	589.03
2000	Polyprion americanus	444.00
2000	Pomatomus saltatrix	6864.44
2000	Porichthys porosissimus	0.00
2000	Priacanthus arenatus	0.00
2000	Sarda sarda	0.00
2000	Scomberomorus brasiliensis	2894.69
2000	Scyllarides deceptor	20399.99
2000	Seriola dumerili	0.00
2000	Seriola lalandi	12.19
2000	Thyrsitops lepidopoides	0.00
2000	Trachinotus carolinus	2085.90
2000	Trachinotus marginatus	0.00
2000	Trichiurus lepturus	11992.01
2000	Umbrina canosai	2070996.17
2000	Urophycis mystacea	0.00
2000	Xiphopenaeus kroyeri	35136.00
2000	Zenopsis conchifer	0.00
2001	Archosargus probatocephalus	0.00
2001	Artemesia longinaris	945492.00
2001	Astroscopus sexspinosus	140.00
2001	Aulostomus maculatus	0.00
2001	Bagre marinus	0.00
2001	Balistes capriscus	139456.00
2001	Beryx splendens	0.00
2001	Caranx crysos	560.00
2001	Caranx latus	0.00
2001	Carcharhinus plumbeus	0.00
2001	Carcharias taurus	9868.24
2001	Caulolatilus chrysops	0.00
2001	Chaetodipterus faber	11659.00
2001	Conger orbignianus	25151.60
2001	Conodon nobilis	13255.00
2001	Cynoscion acoupa	285979.00
2001	Cynoscion guatucupa	2624394.60
2001	Cynoscion jamaicensis	898059.42
2001	Cynoscion leiarchus	51288.00
2001	Cynoscion microlepidotus	6188.00
2001	Cynoscion virescens	8483.00
