/* DATA DESCRIPTION:
Citation:	Perez, José Angel Alvarez; Sant'Ana, Rodrigo (2022): Thermal preference/affinity of demersal species caught in the Brazilian Meridional Margin in the period 2000-2019. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.946399 (dataset in review), 
	In: Perez, JAA; Sant'Ana, R (2022): Time series of catch composition, mean catch temperature and thermal preference of demersal species in the Brazilian Meridional Margin (2000-2019). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.946402 (dataset in review)
Abstract:	The temperature preference/affinity data was obtained from global compilations made available by Cheung et al. (2013) and in FishBase (Froese and Pauly, 2022). In both compilations, thermal preference were derived from considerations about species distribution ranges and sea surface temperature maps (e.g. Cheung et al., 2013 supplementary material). Each species considered here was identified and classified according to established references like FAO ISSCAAP, FAO TAXOCODE, FAO CODE ASFIS 3A, AphiaID, and ITIS/TSN.
Keyword(s):	Catch composition; climate change; SW Atlantic
Further details:	Cheung, William W L; Watson, Reg; Pauly, Daniel (2013): Signature of ocean warming in global fisheries catch. Nature, 497(7449), 365-368, https://doi.org/10.1038/nature12156
	Froese, R; Pauly, Daniel (2019): FishBase, version (02/2019). World Wide Web electronic publication, https://www.fishbase.org
Project(s):	Integrated Assessment of Atlantic Marine Ecosystems in Space and Time (iAtlantic) (URI: http://www.iatlantic.eu/)
Funding:	Horizon 2020 (H2020) (URI: https://ec.europa.eu/programmes/horizon2020/), grant/award no. 818123: Integrated Assessment of Atlantic Marine Ecosystems in Space and Time (URI: https://cordis.europa.eu/projects/818123)
Coverage:	MEDIAN LATITUDE: -27.500000 * MEDIAN LONGITUDE: -47.208300 * SOUTH-BOUND LATITUDE: -34.000000 * WEST-BOUND LONGITUDE: -53.583300 * NORTH-BOUND LATITUDE: -21.000000 * EAST-BOUND LONGITUDE: -40.833300
	DATE/TIME START: 2000-01-01T00:00:00 * DATE/TIME END: 2019-12-31T00:00:00
	MINIMUM ELEVATION: -500.0 m * MAXIMUM ELEVATION: 0.0 m
Event(s):	Brazilian_Demersal_Fisheries_Time_Series * LATITUDE START: -21.000000 * LONGITUDE START: -40.833300 * LATITUDE END: -34.000000 * LONGITUDE END: -53.583300 * DATE/TIME START: 2000-01-01T00:00:00 * DATE/TIME END: 2019-12-31T00:00:00 * ELEVATION START: 0.0 m * ELEVATION END: -500.0 m * LOCATION: Southwest Atlantic * METHOD/DEVICE: Fishing port survey * COMMENT: The sampling (fishing) area is defined by the Brazilian Meridional Margin, from 21°S to the southern border of Brazilian EEZ (34°S) and from the coastal areas down to 500 m depths.
Comment:	Temperature preference/affinities data for landed species obtained from global compilations (Cheung et al., 2013; Froese and Pauly, 2022).
	FAO ISSCAAP = 'International Standard Statistical Classification for Aquatic Animals and Plants' [Food and Agriculture Organization of the United Nations, FAO].
	FAO TAXOCODE = Taxonomic code for classificatory purposes [Food and Agriculture Organization of the United Nations, FAO].
	FAO CODE ASFIS 3A = List of Species for Fishery Statistics Purposes (3-alpha) [Food and Agriculture Organization of the United Nations, FAO].
	AphiaID = World Register of Marine Species identification code.
	ITIS/TSN = Integrated Taxonomic Information System, Taxonomic Serial Number.
Parameter(s):	Species (Species) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: Scientific name for species of the respective landing
	- (-) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: Species_Cod
	Species, unique identification (URI) (Species (URI)) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: AphiaID
	Species, unique identification (Semantic URI) (Species (Semantic URI)) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: AphiaID
	Species, unique identification (URI) (Species (URI)) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: ITIS/TSN
	Species, unique identification (Semantic URI) (Species (Semantic URI)) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: ITIS/TSN
	Species code (Spec code) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: FAO ISSCAAP
	Species code (Spec code) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: FAO TAXOCODE
	Species code (Spec code) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: FAO CODE ASFIS 3A
	Sea surface temperature [°C] (SST) * PI: Perez, José Angel Alvarez (angel.perez@univali.br, http://lattes.cnpq.br/0756846936338310) * COMMENT: Temperature
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 3 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_3)
Size:	582 data points
*/
Species (Scientific name for species o...)	- (Species_Cod)	Species (URI) (AphiaID)	Species (Semantic URI) (AphiaID)	Species (URI) (ITIS/TSN)	Species (Semantic URI) (ITIS/TSN)	Spec code (FAO ISSCAAP)	Spec code (FAO TAXOCODE)	Spec code (FAO CODE ASFIS 3A)	SST [°C] (Temperature)
Urophycis mystacea	4	https://www.marinespecies.org/aphia.php?p=taxdetails&id=272521	urn:lsid:marinespecies.org:taxname:272521	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=690695	urn:lsid:itis.gov:itis_tsn:690695				16.00
Beryx splendens	205	https://www.marinespecies.org/aphia.php?p=taxdetails&id=126395	urn:lsid:marinespecies.org:taxname:126395	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166156	urn:lsid:itis.gov:itis_tsn:166156	34	1610200302	BYS	27.00
Bagre marinus	13	https://www.marinespecies.org/aphia.php?p=taxdetails&id=158713	urn:lsid:marinespecies.org:taxname:158713	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=164159	urn:lsid:itis.gov:itis_tsn:164159	33	1410203702	BEM	25.32
Lopholatilus villarii	16	https://www.marinespecies.org/aphia.php?p=taxdetails&id=276219	urn:lsid:marinespecies.org:taxname:276219	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=645451	urn:lsid:itis.gov:itis_tsn:645451	34	1701640001	FGV	22.82
Caulolatilus chrysops	15	https://www.marinespecies.org/aphia.php?p=taxdetails&id=159403	urn:lsid:marinespecies.org:taxname:159403	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=168544	urn:lsid:itis.gov:itis_tsn:168544	34	1701600104	CKZ	27.00
Pogonias cromis	94	https://www.marinespecies.org/aphia.php?p=taxdetails&id=159333	urn:lsid:marinespecies.org:taxname:159333	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=169288	urn:lsid:itis.gov:itis_tsn:169288	33	1703721002	BDM	24.00
Galeorhinus galeus	315	https://www.marinespecies.org/aphia.php?p=taxdetails&id=105820	urn:lsid:marinespecies.org:taxname:105820	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=160181	urn:lsid:itis.gov:itis_tsn:160181	38	1080401103	GAG	18.00
Carcharhinus plumbeus	26	https://www.marinespecies.org/aphia.php?p=taxdetails&id=105797	urn:lsid:marinespecies.org:taxname:105797	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=160289	urn:lsid:itis.gov:itis_tsn:160289	38	1080201001	CCP	26.00
Carcharias taurus	27	https://www.marinespecies.org/aphia.php?p=taxdetails&id=105843	urn:lsid:marinespecies.org:taxname:105843	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=159888	urn:lsid:itis.gov:itis_tsn:159888	38	1060200501	CCT	27.00
Illex argentinus	132	https://www.marinespecies.org/aphia.php?p=taxdetails&id=342064	urn:lsid:marinespecies.org:taxname:342064	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=556070	urn:lsid:itis.gov:itis_tsn:556070	57	3210501003	SQA	10.00
Artemesia longinaris	39	https://www.marinespecies.org/aphia.php?p=taxdetails&id=246225	urn:lsid:marinespecies.org:taxname:246225	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=95781	urn:lsid:itis.gov:itis_tsn:95781	45	2280106701	ASH	16.00
Penaeus schmitti	40	https://www.marinespecies.org/aphia.php?p=taxdetails&id=582132	urn:lsid:marinespecies.org:taxname:582132	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=551679	urn:lsid:itis.gov:itis_tsn:551679	45	2280100108	PNT	21.00
Pleoticus muelleri	46	https://www.marinespecies.org/aphia.php?p=taxdetails&id=377568	urn:lsid:marinespecies.org:taxname:377568	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=95971	urn:lsid:itis.gov:itis_tsn:95971	45	2282900601	LAA	14.00
Xiphopenaeus kroyeri	47	https://www.marinespecies.org/aphia.php?p=taxdetails&id=377690	urn:lsid:marinespecies.org:taxname:377690	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=95750	urn:lsid:itis.gov:itis_tsn:95750	45	2280102201	BOB	26.00
Lutjanus griseus	49	https://www.marinespecies.org/aphia.php?p=taxdetails&id=159797	urn:lsid:marinespecies.org:taxname:159797	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=168848	urn:lsid:itis.gov:itis_tsn:168848	33	1703202728	LJI	25.72
Caranx crysos	53	https://www.marinespecies.org/aphia.php?p=taxdetails&id=126802	urn:lsid:marinespecies.org:taxname:126802	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=168612	urn:lsid:itis.gov:itis_tsn:168612	37	1702304426	RUB	25.00
Umbrina canosai	55	https://www.marinespecies.org/aphia.php?p=taxdetails&id=273796	urn:lsid:marinespecies.org:taxname:273796	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=169299	urn:lsid:itis.gov:itis_tsn:169299	33	1703707003	CKY	19.00
Hyporthodus flavolimbatus	167	https://www.marinespecies.org/aphia.php?p=taxdetails&id=475077	urn:lsid:marinespecies.org:taxname:475077			33	1700256008	EEL	21.55
